latitude_dd,longitude_dd,vdatum,member_name,site_id,site_no,description,networks,state,county,waterbody,horizontal_datum,priority,zone,horizontal_collection_method,perm_housing_installed,peak_summary_id,member_id,peak_date,is_peak_estimated,is_peak_time_estimated,peak_stage,is_peak_stage_estimated,peak_discharge,is_peak_discharge_estimated,vdatum_id,height_above_gnd,is_hag_estimated,time_zone,aep,aep_lowci,aep_upperci,aep_range,calc_notes,last_updated,last_updated_by,member,data_file,hwms,vertical_datums,Links
29.30927,-95.53909,NAVD88,Kristine Blickenstaff,20779,TXBRA20779,Ramsey Unit prison,,TX,Brazoria County,oyster creek,,,,,No,5126,,9/1/2017 5:00:00 PM,1,1,45.08,1,,0,,1.28,1,UTC,,,,,Average of 3 HWMs.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.55767,-95.55251,NAVD88,Kristine Blickenstaff,20780,TXBRA20780,Lake Olympia middle school,,TX,Brazoria County,oyster creek,,,,,No,5127,,9/2/2017 5:00:00 PM,1,1,63.87,1,,0,,1.72,1,UTC,,,,,Average of 2 HWMs.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.38007,-95.49771,NAVD88,Kristine Blickenstaff,20783,TXBRA20783,county road 42 2,,TX,Brazoria County,oyster creek,,,,,No,5163,,9/2/2017 5:00:00 PM,1,1,52.63,1,,0,,2.86,1,UTC,,,,,Average of 3 HWMs was used to create peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.35253,-95.51714,NAVD88,Kristine Blickenstaff,20781,TXBRA20781,At intersection 300 yards east of oyster creek on  rt. 1462.,,TX,Brazoria County,Oyster Creek,,,,,No,5182,,9/2/2017 5:00:00 PM,1,1,48.2,0,,0,,1.97,,UTC,,,,,Single HWM used to establish peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.46383,-95.47832,NAVD88,Kristine Blickenstaff,20782,TXFOR20782,burried electrical line access boxes on either side of road,,TX,Fort Bend County,oyster creek,,,,,No,5233,,9/2/2017 5:00:00 PM,0,0,55.18,0,,0,,1.3,,UTC,,,,,Average of two HWMs.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.451847,-95.511167,NAVD88,Kristine Blickenstaff,20785,TXFOR20785,"S. side of road, 2 miles from 521 intersection.",,TX,Fort Bend County,oyster creek,,,,,No,5234,,9/2/2017 5:00:00 PM,0,0,54.85,0,,0,,2.69,,UTC,,,,,Single HWM used.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.81397,-96.11069,NAVD88,Kristine Blickenstaff,20869,TXAUS20869,Park Road 38,,TX,Austin County,brazos creek,,,,,No,5235,,9/2/2017 5:00:00 PM,1,1,130.43,1,,0,,5.6,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.79306,-96.08163,NAVD88,Kristine Blickenstaff,20872,TXAUS20872,lower pasture road on N and S sides of the bridge.,,TX,Austin County,brazos river,,,,,No,5236,,9/2/2017 5:00:00 PM,1,1,127.29,1,,0,,7.23,1,UTC,,,,,Average of 3 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.77137,-96.03754,NAVD88,Kristine Blickenstaff,20879,TXAUS20879,beam support of RR bridge off exit 725 of I10,,TX,Austin County,brazos river,,,,,No,5237,,9/2/2017 5:00:00 PM,1,1,120.02,0,,0,,6.1,,UTC,,,,,Single HWM used.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.7401,-96.04173,NAVD88,Kristine Blickenstaff,20880,TXAUS20880,intersection of hidden creek and river ridge,,TX,Austin County,brazos river,,,,,No,5238,,9/2/2017 5:00:00 PM,1,1,118.31,0,,0,,0,,UTC,,,,,Single elevation used.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
